Stimulus;VisualField;Pseudoword;Tapping;WordCategory;SubCategory;
pelgen;RVF;TRUE;TRUE;F;F;
fleuhen;RVF;TRUE;TRUE;F;F;
häkeln;RFV;FALSE;FALSE;H;H2;
knechen;LVF;TRUE;FALSE;H;H2;
flicken;RFV;FALSE;FALSE;H;H2;
hümeln;RFV;TRUE;FALSE;H;H2;
wringen;RFV;FALSE;FALSE;H;H2;
kleben;LVF;FALSE;FALSE;H;H2;
lühren;RFV;TRUE;FALSE;H;H2;
knicken;RFV;FALSE;FALSE;H;H2;
rechen;LVF;FALSE;FALSE;H;H2;
schnüren;RFV;FALSE;FALSE;H;H2;
spracken;LVF;TRUE;FALSE;H;H2;
truchten;RFV;TRUE;FALSE;H;H2;
sugen;LVF;TRUE;FALSE;H;H2;
formen;LVF;FALSE;FALSE;H;H2;
scheimeln;RFV;TRUE;FALSE;H;H2;
buddeln;LVF;FALSE;FALSE;H;H2;
fegen;RFV;FALSE;FALSE;H;H2;
schaufeln;RFV;FALSE;FALSE;H;H2;
toschen;LVF;TRUE;FALSE;H;H2;
"	schnaren";LVF;TRUE;FALSE;H;H2;
kneten;LVF;FALSE;FALSE;H;H2;
krepen;RFV;TRUE;FALSE;H;H2;
stonken;LVF;TRUE;FALSE;H;H2;
reufen;RFV;TRUE;FALSE;H;H2;
reißen;LVF;FALSE;FALSE;H;H2;
waschen;RFV;FALSE;FALSE;H;H2;
frilgen;LVF;TRUE;FALSE;H;H2;
nülen;RFV;TRUE;FALSE;H;H2;
reupen;LVF;TRUE;FALSE;H;H2;
nähen;LVF;FALSE;FALSE;H;H2;
zesten;RFV;TRUE;FALSE;H;H1;
heien;LVF;TRUE;FALSE;H;H1;
hauen;RFV;FALSE;FALSE;H;H1;
schütteln;RFV;FALSE;FALSE;H;H1;
schansen;LVF;TRUE;FALSE;H;H1;
pleifen;RFV;TRUE;FALSE;H;H1;
supfen;RFV;TRUE;FALSE;H;H1;
getzeln;RFV;TRUE;FALSE;H;H1;
wischen;LVF;FALSE;FALSE;H;H1;
streichen;LVF;FALSE;FALSE;H;H1;
fassen;RFV;FALSE;FALSE;H;H1;
kritzeln;RFV;FALSE;FALSE;H;H1;
pachen;RFV;TRUE;FALSE;H;H1;
präcken;LVF;TRUE;FALSE;H;H1;
salben;LVF;FALSE;FALSE;H;H1;
krutzeln;LVF;TRUE;FALSE;H;H1;
kiben;LVF;TRUE;FALSE;H;H1;
kolten;RFV;TRUE;FALSE;H;H1;
kitzeln;RFV;FALSE;FALSE;H;H1;
geußen;LVF;TRUE;FALSE;H;H1;
malen;LVF;FALSE;FALSE;H;H1;
heben;RFV;FALSE;FALSE;H;H1;
glätten;RFV;FALSE;FALSE;H;H1;
tasten;LVF;FALSE;FALSE;H;H1;
drücken;RFV;FALSE;FALSE;H;H1;
fuppeln;LVF;TRUE;FALSE;H;H1;
speßen;RFV;TRUE;FALSE;H;H1;
zeichnen;LVF;FALSE;FALSE;H;H1;
packen;LVF;FALSE;FALSE;H;H1;
glüppen;LVF;TRUE;FALSE;H;H1;
speifen;LVF;TRUE;FALSE;F;F;
joggen;RFV;FALSE;FALSE;F;F;
traben;RFV;FALSE;FALSE;F;F;
stapfen;RFV;FALSE;FALSE;F;F;
paseln;LVF;TRUE;FALSE;F;F;
trommen;LVF;TRUE;FALSE;F;F;
gapen;LVF;TRUE;FALSE;F;F;
flitzen;LVF;FALSE;FALSE;F;F;
folgen;RFV;FALSE;FALSE;F;F;
himpeln;LVF;TRUE;FALSE;F;F;
treten;RFV;FALSE;FALSE;F;F;
waten;RFV;FALSE;FALSE;F;F;
trotten;LVF;FALSE;FALSE;F;F;
radeln;LVF;FALSE;FALSE;F;F;
huschen;LVF;FALSE;FALSE;F;F;
stipfen;RFV;TRUE;FALSE;F;F;
spiekeln;RFV;TRUE;FALSE;F;F;
leifen;RFV;TRUE;FALSE;F;F;
bummeln;LVF;FALSE;FALSE;F;F;
fröchten;LVF;TRUE;FALSE;F;F;
hipfen;RFV;TRUE;FALSE;F;F;
stürmen;LVF;FALSE;FALSE;F;F;
stampfen;LVF;FALSE;FALSE;F;F;
jonnen;RFV;TRUE;FALSE;F;F;
pondeln;RFV;TRUE;FALSE;F;F;
tanzen;RFV;FALSE;FALSE;F;F;
plien;LVF;TRUE;FALSE;F;F;
sprinfen;LVF;TRUE;FALSE;F;F;
spurten;RFV;FALSE;FALSE;F;F;
fretzen;RFV;TRUE;FALSE;F;F;
reiben;LVF;FALSE;FALSE;H;H2;
paudeln;LVF;TRUE;FALSE;H;H2;
schöpen;RFV;TRUE;FALSE;H;H2;
fiedeln;RFV;FALSE;FALSE;H;H2;
bümmeln;RFV;TRUE;FALSE;H;H2;
bohren;LVF;FALSE;FALSE;H;H2;
weben;LVF;FALSE;FALSE;H;H2;
krenen;RFV;TRUE;FALSE;H;H2;
heppen;RFV;TRUE;FALSE;H;H2;
fruchen;RFV;TRUE;FALSE;H;H2;
kemen;LVF;TRUE;FALSE;H;H2;
graben;RFV;FALSE;FALSE;H;H2;
sägen;LVF;FALSE;FALSE;H;H2;
racken;LVF;TRUE;FALSE;H;H2;
flechten;RFV;FALSE;FALSE;H;H2;
hissen;RFV;FALSE;FALSE;H;H2;
harken;RFV;FALSE;FALSE;H;H2;
kreten;LVF;TRUE;FALSE;H;H2;
folmen;LVF;TRUE;FALSE;H;H2;
schälen;RFV;FALSE;FALSE;H;H2;
lützen;RFV;TRUE;FALSE;H;H2;
putzen;RFV;FALSE;FALSE;H;H2;
stopfen;LVF;FALSE;FALSE;H;H2;
hacken;RFV;FALSE;FALSE;H;H2;
hurgen;LVF;TRUE;FALSE;H;H2;
fumen;LVF;TRUE;FALSE;H;H2;
höchen;LVF;TRUE;FALSE;H;H2;
bauen;LVF;FALSE;FALSE;H;H2;
stricken;LVF;FALSE;FALSE;H;H2;
peuen;RFV;TRUE;FALSE;H;H2;
stelpern;RFV;TRUE;FALSE;F;F;
wandern;RFV;FALSE;FALSE;F;F;
eilen;LVF;FALSE;FALSE;F;F;
kriben;RFV;TRUE;FALSE;F;F;
hüpfen;LVF;FALSE;FALSE;F;F;
kummeln;RFV;TRUE;FALSE;F;F;
stolpern;LVF;FALSE;FALSE;F;F;
knien;RFV;FALSE;FALSE;F;F;
kicken;LVF;FALSE;FALSE;F;F;
mochen;RFV;TRUE;FALSE;F;F;
eupen;LVF;TRUE;FALSE;F;F;
spolten;LVF;TRUE;FALSE;F;F;
strongen;LVF;TRUE;FALSE;F;F;
stärmen;RFV;TRUE;FALSE;F;F;
springen;RFV;FALSE;FALSE;F;F;
flüchten;RFV;FALSE;FALSE;F;F;
spompfen;RFV;TRUE;FALSE;F;F;
kanzen;LVF;TRUE;FALSE;F;F;
kechen;LVF;TRUE;FALSE;F;F;
sprinten;LVF;FALSE;FALSE;F;F;
pelgen;LVF;TRUE;FALSE;F;F;
steigen;LVF;FALSE;FALSE;F;F;
humpeln;RFV;FALSE;FALSE;F;F;
fleuhen;LVF;TRUE;FALSE;F;F;
kischen;RFV;TRUE;FALSE;F;F;
stiefeln;LVF;FALSE;FALSE;F;F;
hocken;RFV;FALSE;FALSE;F;F;
trilen;LVF;TRUE;FALSE;F;F;
fliehen;RFV;FALSE;FALSE;F;F;
laufen;RFV;FALSE;FALSE;F;F;
kneifen;RFV;FALSE;FALSE;H;H1;
schöppeln;RFV;TRUE;FALSE;H;H1;
stoßen;LVF;FALSE;FALSE;H;H1;
lutzen;LVF;TRUE;FALSE;H;H1;
streipfen;LVF;TRUE;FALSE;H;H1;
ritzen;RFV;FALSE;FALSE;H;H1;
kratzen;RFV;FALSE;FALSE;H;H1;
zwicken;RFV;FALSE;FALSE;H;H1;
tütschern;RFV;TRUE;FALSE;H;H1;
peichnen;RFV;TRUE;FALSE;H;H1;
pflücken;LVF;FALSE;FALSE;H;H1;
schleppen;LVF;FALSE;FALSE;H;H1;
pfeucken;LVF;TRUE;FALSE;H;H1;
schruppen;RFV;TRUE;FALSE;H;H1;
frutzen;RFV;TRUE;FALSE;H;H1;
lapfen;LVF;TRUE;FALSE;H;H1;
gießen;LVF;FALSE;FALSE;H;H1;
pricken;RFV;TRUE;FALSE;H;H1;
repfen;LVF;TRUE;FALSE;H;H1;
schubsen;RFV;FALSE;FALSE;H;H1;
sulben;RFV;TRUE;FALSE;H;H1;
rupfen;LVF;FALSE;FALSE;H;H1;
halten;RFV;FALSE;FALSE;H;H1;
pulen;LVF;TRUE;FALSE;H;H1;
tätscheln;RFV;FALSE;FALSE;H;H1;
lischen;LVF;TRUE;FALSE;H;H1;
tupfen;RFV;FALSE;FALSE;H;H1;
zupfen;LVF;FALSE;FALSE;H;H1;
fummeln;LVF;FALSE;FALSE;H;H1;
fappen;LVF;TRUE;FALSE;H;H1;
supfen;LVF;TRUE;TRUE;H;H1;
präcken;RVF;TRUE;TRUE;H;H1;
fassen;LVF;FALSE;TRUE;H;H1;
kiben;RVF;TRUE;TRUE;H;H1;
schütteln;LVF;FALSE;TRUE;H;H1;
kritzeln;LVF;FALSE;TRUE;H;H1;
heben;LVF;FALSE;TRUE;H;H1;
streichen;RVF;FALSE;TRUE;H;H1;
wischen;RVF;FALSE;TRUE;H;H1;
fuppeln;RVF;TRUE;TRUE;H;H1;
packen;RVF;FALSE;TRUE;H;H1;
tasten;RVF;FALSE;TRUE;H;H1;
getzeln;LVF;TRUE;TRUE;H;H1;
speßen;LVF;TRUE;TRUE;H;H1;
salben;RVF;FALSE;TRUE;H;H1;
kitzeln;LVF;FALSE;TRUE;H;H1;
schansen;RVF;TRUE;TRUE;H;H1;
kolten;LVF;TRUE;TRUE;H;H1;
geußen;RVF;TRUE;TRUE;H;H1;
krutzeln;RVF;TRUE;TRUE;H;H1;
pleifen;LVF;TRUE;TRUE;H;H1;
pachen;LVF;TRUE;TRUE;H;H1;
zesten;LVF;TRUE;TRUE;H;H1;
glüppen;RVF;TRUE;TRUE;H;H1;
heien;RVF;TRUE;TRUE;H;H1;
glätten;LVF;FALSE;TRUE;H;H1;
zeichnen;RVF;FALSE;TRUE;H;H1;
drücken;LVF;FALSE;TRUE;H;H1;
malen;RVF;FALSE;TRUE;H;H1;
hauen;LVF;FALSE;TRUE;H;H1;
paudeln;RVF;TRUE;TRUE;H;H2;
knicken;LVF;FALSE;TRUE;H;H2;
bümmeln;LVF;TRUE;TRUE;H;H2;
kreten;RVF;TRUE;TRUE;H;H2;
kleben;RVF;FALSE;TRUE;H;H2;
schaufeln;LVF;FALSE;TRUE;H;H2;
höchen;RVF;TRUE;TRUE;H;H2;
schöpen;LVF;TRUE;TRUE;H;H2;
lützen;LVF;TRUE;TRUE;H;H2;
fumen;RVF;TRUE;TRUE;H;H2;
formen;RVF;FALSE;TRUE;H;H2;
rechen;RVF;FALSE;TRUE;H;H2;
folmen;RVF;TRUE;TRUE;H;H2;
heppen;LVF;TRUE;TRUE;H;H2;
häkeln;LVF;FALSE;TRUE;H;H2;
nähen;RVF;FALSE;TRUE;H;H2;
wringen;LVF;FALSE;TRUE;H;H2;
reißen;RVF;FALSE;TRUE;H;H2;
hurgen;RVF;TRUE;TRUE;H;H2;
peuen;LVF;TRUE;TRUE;H;H2;
buddeln;RVF;FALSE;TRUE;H;H2;
kneten;RVF;FALSE;TRUE;H;H2;
schnüren;LVF;FALSE;TRUE;H;H2;
kemen;RVF;TRUE;TRUE;H;H2;
racken;RVF;TRUE;TRUE;H;H2;
waschen;LVF;FALSE;TRUE;H;H2;
fegen;LVF;FALSE;TRUE;H;H2;
krenen;LVF;TRUE;TRUE;H;H2;
flicken;LVF;FALSE;TRUE;H;H2;
fruchen;LVF;TRUE;TRUE;H;H2;
schubsen;LVF;FALSE;TRUE;H;H1;
kneifen;LVF;FALSE;TRUE;H;H1;
rupfen;RVF;FALSE;TRUE;H;H1;
repfen;RVF;TRUE;TRUE;H;H1;
frutzen;LVF;TRUE;TRUE;H;H1;
sulben;LVF;TRUE;TRUE;H;H1;
tupfen;LVF;FALSE;TRUE;H;H1;
ritzen;LVF;FALSE;TRUE;H;H1;
peichnen;LVF;TRUE;TRUE;H;H1;
zwicken;LVF;FALSE;TRUE;H;H1;
tätscheln;LVF;FALSE;TRUE;H;H1;
zupfen;RVF;FALSE;TRUE;H;H1;
lutzen;RVF;TRUE;TRUE;H;H1;
fappen;RVF;TRUE;TRUE;H;H1;
schöppeln;LVF;TRUE;TRUE;H;H1;
lischen;RVF;TRUE;TRUE;H;H1;
pulen;RVF;TRUE;TRUE;H;H1;
streipfen;RVF;TRUE;TRUE;H;H1;
tütschern;LVF;TRUE;TRUE;H;H1;
lapfen;RVF;TRUE;TRUE;H;H1;
kratzen;LVF;FALSE;TRUE;H;H1;
pfeucken;RVF;TRUE;TRUE;H;H1;
gießen;RVF;FALSE;TRUE;H;H1;
pflücken;RVF;FALSE;TRUE;H;H1;
schleppen;RVF;FALSE;TRUE;H;H1;
halten;LVF;FALSE;TRUE;H;H1;
fummeln;RVF;FALSE;TRUE;H;H1;
stoßen;RVF;FALSE;TRUE;H;H1;
schruppen;LVF;TRUE;TRUE;H;H1;
pricken;LVF;TRUE;TRUE;H;H1;
knien;LVF;FALSE;TRUE;F;F;
stärmen;LVF;TRUE;TRUE;F;F;
kechen;RVF;TRUE;TRUE;F;F;
stelpern;LVF;TRUE;TRUE;F;F;
hocken;LVF;FALSE;TRUE;F;F;
pelgen;RVF;TRUE;TRUE;F;F;
laufen;LVF;FALSE;TRUE;F;F;
fliehen;LVF;FALSE;TRUE;F;F;
hüpfen;RVF;FALSE;TRUE;F;F;
stiefeln;RVF;FALSE;TRUE;F;F;
spompfen;LVF;TRUE;TRUE;F;F;
kischen;LVF;TRUE;TRUE;F;F;
eupen;RVF;TRUE;TRUE;F;F;
stolpern;RVF;FALSE;TRUE;F;F;
sprinten;RVF;FALSE;TRUE;F;F;
fleuhen;RVF;TRUE;TRUE;F;F;
springen;LVF;FALSE;TRUE;F;F;
wandern;LVF;FALSE;TRUE;F;F;
kicken;RVF;FALSE;TRUE;F;F;
mochen;LVF;TRUE;TRUE;F;F;
trilen;RVF;TRUE;TRUE;F;F;
humpeln;LVF;FALSE;TRUE;F;F;
eilen;RVF;FALSE;TRUE;F;F;
kriben;LVF;TRUE;TRUE;F;F;
kanzen;RVF;TRUE;TRUE;F;F;
steigen;RVF;FALSE;TRUE;F;F;
strongen;RVF;TRUE;TRUE;F;F;
spolten;RVF;TRUE;TRUE;F;F;
kummeln;LVF;TRUE;TRUE;F;F;
flüchten;LVF;FALSE;TRUE;F;F;
bohren;RVF;FALSE;TRUE;H;H2;
hissen;LVF;FALSE;TRUE;H;H2;
krepen;LVF;TRUE;TRUE;H;H2;
stopfen;RVF;FALSE;TRUE;H;H2;
flechten;LVF;FALSE;TRUE;H;H2;
fiedeln;LVF;FALSE;TRUE;H;H2;
weben;RVF;FALSE;TRUE;H;H2;
reufen;LVF;TRUE;TRUE;H;H2;
hümeln;LVF;TRUE;TRUE;H;H2;
spracken;RVF;TRUE;TRUE;H;H2;
schälen;LVF;FALSE;TRUE;H;H2;
knechen;RVF;TRUE;TRUE;H;H2;
graben;LVF;FALSE;TRUE;H;H2;
nülen;LVF;TRUE;TRUE;H;H2;
hacken;LVF;FALSE;TRUE;H;H2;
lühren;LVF;TRUE;TRUE;H;H2;
sägen;RVF;FALSE;TRUE;H;H2;
putzen;LVF;FALSE;TRUE;H;H2;
toschen;RVF;TRUE;TRUE;H;H2;
scheimeln;LVF;TRUE;TRUE;H;H2;
frilgen;RVF;TRUE;TRUE;H;H2;
truchten;LVF;TRUE;TRUE;H;H2;
reupen;RVF;TRUE;TRUE;H;H2;
stonken;RVF;TRUE;TRUE;H;H2;
harken;LVF;FALSE;TRUE;H;H2;
sugen;RVF;TRUE;TRUE;H;H2;
reiben;RVF;FALSE;TRUE;H;H2;
stricken;RVF;FALSE;TRUE;H;H2;
bauen;RVF;FALSE;TRUE;H;H2;
"	schnaren";RVF;TRUE;TRUE;H;H2;
paseln;RVF;TRUE;TRUE;F;F;
stapfen;LVF;FALSE;TRUE;F;F;
stürmen;RVF;FALSE;TRUE;F;F;
radeln;RVF;FALSE;TRUE;F;F;
stipfen;LVF;TRUE;TRUE;F;F;
fretzen;LVF;TRUE;TRUE;F;F;
speifen;RVF;TRUE;TRUE;F;F;
treten;LVF;FALSE;TRUE;F;F;
spurten;LVF;FALSE;TRUE;F;F;
stampfen;RVF;FALSE;TRUE;F;F;
joggen;LVF;FALSE;TRUE;F;F;
pondeln;LVF;TRUE;TRUE;F;F;
hipfen;LVF;TRUE;TRUE;F;F;
jonnen;LVF;TRUE;TRUE;F;F;
plien;RVF;TRUE;TRUE;F;F;
traben;LVF;FALSE;TRUE;F;F;
trotten;RVF;FALSE;TRUE;F;F;
folgen;LVF;FALSE;TRUE;F;F;
tanzen;LVF;FALSE;TRUE;F;F;
leifen;LVF;TRUE;TRUE;F;F;
sprinfen;RVF;TRUE;TRUE;F;F;
huschen;RVF;FALSE;TRUE;F;F;
bummeln;RVF;FALSE;TRUE;F;F;
waten;LVF;FALSE;TRUE;F;F;
spiekeln;LVF;TRUE;TRUE;F;F;
fröchten;RVF;TRUE;TRUE;F;F;
gapen;RVF;TRUE;TRUE;F;F;
himpeln;RVF;TRUE;TRUE;F;F;
flitzen;RVF;FALSE;TRUE;F;F;
trommen;RVF;TRUE;TRUE;F;F;
